Saskatchewan,Same Day province visits,Entertainment,12564
Saskatchewan,Same Day province visits,Clothing,85357
Saskatchewan,Same Day province visits,Other expenditures,36425
Saskatchewan,Overnight province visits,Vehicle rental,14775
Saskatchewan,Overnight province visits,Vehicle operation (including gas and repairs),283651
Saskatchewan,Overnight province visits,Local transportation,4784
Saskatchewan,Overnight province visits,"Transportation fares (plane, bus, et cetera)",146056
Saskatchewan,Overnight province visits,"Food and beverage, in restaurants and bars",178435
Saskatchewan,Overnight province visits,"Food and beverage, in stores during trip",78327
Saskatchewan,Overnight province visits,Recreation,18856
Saskatchewan,Overnight province visits,Entertainment,14766
Saskatchewan,Overnight province visits,Clothing,51795
Saskatchewan,Overnight province visits,Other expenditures,23887
Alberta,Same Day province visits,Vehicle rental,14284
Alberta,Same Day province visits,Vehicle operation (including gas and repairs),733161
Alberta,Same Day province visits,Local transportation,10538
Alberta,Same Day province visits,"Transportation fares (plane, bus, et cetera)",15804
Alberta,Same Day province visits,"Food and beverage, in restaurants and bars",532351
Alberta,Same Day province visits,"Food and beverage, in stores during trip",191637
Alberta,Same Day province visits,Recreation,79182
Alberta,Same Day province visits,Entertainment,69530
Alberta,Same Day province visits,Clothing,363827
Alberta,Same Day province visits,Other expenditures,79711
Alberta,Overnight province visits,Vehicle rental,70280
Alberta,Overnight province visits,Vehicle operation (including gas and repairs),750540
Alberta,Overnight province visits,Local transportation,25948
Alberta,Overnight province visits,"Transportation fares (plane, bus, et cetera)",629209
Alberta,Overnight province visits,"Food and beverage, in restaurants and bars",785105
Alberta,Overnight province visits,"Food and beverage, in stores during trip",304142
Alberta,Overnight province visits,Recreation,114578
Alberta,Overnight province visits,Entertainment,99906
Alberta,Overnight province visits,Clothing,292059
Alberta,Overnight province visits,Other expenditures,90832
British Columbia,Same Day province visits,Vehicle rental,9763
British Columbia,Same Day province visits,Vehicle operation (including gas and repairs),455465
British Columbia,Same Day province visits,Local transportation,16524
British Columbia,Same Day province visits,"Transportation fares (plane, bus, et cetera)",83549
British Columbia,Same Day province visits,"Food and beverage, in restaurants and bars",413612
